date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:38	20982/20982	---M--	200	added ('OK')	text/html	etag:%22c9e0e7-51f6-5a4e3de42bb40%22	http://gulfhealthrecruit.com/	H:/GHR/ghr/gulfhealthrecruit.com/index.html	(from )
18:11:39	3885/3885	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2023%20May%202020%2014:11:38%20GMT	http://gulfhealthrecruit.com/robots.txt		(from )
18:11:40	6628/6628	---M--	200	added ('OK')	image/png	etag:%22c9e10c-19e4-5a4d521c37440%22	http://gulfhealthrecruit.com/img/favicon.png	H:/GHR/ghr/gulfhealthrecruit.com/img/favicon.png	(from http://gulfhealthrecruit.com/)
18:11:41	155758/155758	---M--	200	added ('OK')	text/css	etag:%22c9e159-2606e-5a4d5385a8900%22	http://gulfhealthrecruit.com/lib/bootstrap/css/bootstrap.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/bootstrap/css/bootstrap.min.css	(from http://gulfhealthrecruit.com/)
18:11:44	31000/31000	---M--	200	added ('OK')	text/css	etag:%22c9e14d-7918-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css	(from http://gulfhealthrecruit.com/)
18:11:45	16964/16964	---M--	200	added ('OK')	text/css	etag:%22c9e138-4244-585880d230a80%22	http://gulfhealthrecruit.com/lib/animate/animate.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/animate/animate.min.css	(from http://gulfhealthrecruit.com/)
18:11:46	51284/51284	---M--	200	added ('OK')	text/css	etag:%22c9e11d-c854-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css	(from http://gulfhealthrecruit.com/)
18:11:47	3351/3351	---M--	200	added ('OK')	text/css	etag:%22c9e13f-d17-585880d230a80%22	http://gulfhealthrecruit.com/lib/owlcarousel/assets/owl.carousel.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/owlcarousel/assets/owl.carousel.min.css	(from http://gulfhealthrecruit.com/)
18:11:48	2608/2608	---M--	200	added ('OK')	text/css	etag:%22c9e12c-a30-585880d230a80%22	http://gulfhealthrecruit.com/lib/lightbox/css/lightbox.min.css	H:/GHR/ghr/gulfhealthrecruit.com/lib/lightbox/css/lightbox.min.css	(from http://gulfhealthrecruit.com/)
18:11:49	20694/20694	---M--	200	added ('OK')	text/css	etag:%22c9e0e4-50d6-5a5d84c0d1cc0%22	http://gulfhealthrecruit.com/css/style.css	H:/GHR/ghr/gulfhealthrecruit.com/css/style.css	(from http://gulfhealthrecruit.com/)
